Species	HomeRange
Orcinus_orca	27287
Oreamnos_americanus	14.63277778
Ornithorhynchus_anatinus	0.0692
Orycteropus_afer	2.297692308
Oryctolagus_cuniculus	0.044376074
Oryzomys_palustris	0.02231156
Otaria_byronia	7319.071429
Otocolobus_manul	54.32666667
Otocyon_megalotis	4.070555556
Otomys_sloggetti	0.00026733
Otospermophilus_beecheyi	0.002070672
Otospermophilus_variegatus	0.039928571
Ourebia_ourebi	0.426
Ovis_aries	2.05465
Ovis_canadensis	19.1582963
Ovis_gmelini	1.099
Oxymycterus_roberti	0.00034
Ozotoceros_bezoarticus	25.9896
Paguma_larvata	1.549230769
Pan_paniscus	19.37142857
Pan_troglodytes	11.1934998
Panthera_leo	420.0377492
Panthera_onca	186.1800723
Panthera_pardus	114.1524812
Panthera_tigris	460.7750515
Panthera_uncia	349.400315
Papio_anubis	20.9025
Papio_hamadryas	16.69333333
Papio_ursinus	16.4841233
Paradoxurus_hermaphroditus	1.504676471
Paraechinus_aethiopicus	0.873879255
Parahyaena_brunnea	156.556962
Paraxerus_palliatus	0.025675
Pardofelis_marmorata	5.12
Pecari_tajacu	1.542604418
Perameles_gunnii	0.088852632
Perameles_nasuta	0.036972
Perimyotis_subflavus	1.556666667
Perodicticus_edwardsi	0.867968182
Peromyscus_boylii	0.003231481
Peromyscus_californicus	0.001131835
Peromyscus_crinitus	0.00365
Peromyscus_gossypinus	0.009748526
Peromyscus_leucopus	0.002742875
Peromyscus_maniculatus	0.000996366
Peromyscus_polionotus	0.016572713
Peromyscus_truei	0.007209804
Petaurista_philippensis	0.021166667
Petauroides_volans	0.018360684
Petaurus_australis	0.305469697
Petaurus_breviceps	0.029862992
Petaurus_gracilis	0.169427778
Petaurus_norfolcensis	0.036337402
Petrodromus_tetradactylus	0.010870968
Petrogale_assimilis	0.082035714
Petrogale_brachyotis	0.125314815
Petrogale_xanthopus	0.455
Petromus_typicus	0.002183913
Petropseudes_dahli	0.009
Phaner_pallescens	0.04785
Phascogale_tapoatafa	0.228945238
Phascolarctos_cinereus	0.194021612
Phataginus_tricuspis	0.2175
Philander_frenatus	0.026138391
Philander_opossum	0.0039
Philantomba_monticola	0.036302857
Phoca_vitulina	593.6504386
Phocarctos_hookeri	686.8823529
Phocoena_phocoena	8849.315625
Physeter_macrocephalus	148.5222222
Piliocolobus_badius	0.58
Piliocolobus_tephrosceles	0.2415
Pipistrellus_kuhlii	1.639892857
Pipistrellus_pipistrellus	4.9094
Pipistrellus_pygmaeus	7.46046
Pithecia_aequatorialis	0.343333333
Pithecia_albicans	2.312
Pithecia_hirsuta	0.1685
Pithecia_irrorata	0.343391304
Pithecia_pithecia	3.5315625
Plagiodontia_aedium	0.027293545
Plecotus_auritus	0.399758333
Plecotus_austriacus	2.954688889
Plecotus_macrobullaris	9.606140909
Plecturocebus_cupreus	0.2
Plecturocebus_discolor	0.026513699
Poliocitellus_franklinii	0.066642857
Pongo_abelii	5.68
Pongo_pygmaeus	7.571421249
Pontoporia_blainvillei	113.3729167
Potorous_longipes	0.2195
Potos_flavus	0.270203802
Praomys_tullbergi	0.0036885
Presbytis_comata	0.26
Presbytis_femoralis	0.22
Presbytis_potenziani	0.282833333
Presbytis_rubicunda	0.372282051
Presbytis_thomasi	0.274342857
Priodontes_maximus	16.14804655
Prionailurus_bengalensis	3.17183908
Prionailurus_viverrinus	6.69125
Procolobus_verus	0.556
Procyon_cancrivorus	0.034
Procyon_lotor	2.763812729
Proechimys_cuvieri	0.004309769
Proechimys_guairae	0.00595
Proechimys_guyannensis	0.001547894
Proechimys_longicaudatus	0.00185
Proechimys_semispinosus	0.001590283
Prolemur_simus	0.62
Propithecus_diadema	0.383108333
Propithecus_edwardsi	0.202678947
Propithecus_tattersalli	0.058954167
Propithecus_verreauxi	0.022744444
Proteles_cristata	3.74
Psammomys_obesus	0.001496
Pseudantechinus_macdonnellensis	0.006827273
Pseudocheirus_occidentalis	0.006041778
Pseudocheirus_peregrinus	0.004924074
Pseudochirulus_herbertensis	0.016607143
Pseudomys_albocinereus	0.017
Pseudomys_australis	0.008297917
Pseudomys_chapmani	0.040886071
Pteromys_volans	0.158464286
Pteropus_dasymallus	0.520302326
Pteropus_niger	528.525
Pteropus_rufus	26.66861111
Pteropus_vampyrus	145.4562
Puma_concolor	269.5149922
Pusa_hispida	158.8825
Pygathrix_nemaeus	0.2515
Pygeretmus_pumilio	0.002302879
Rangifer_tarandus	14464.40734
Raphicerus_campestris	0.623333333
Rattus_argentiventer	0.026133027
Rattus_exulans	0.0011
Rattus_fuscipes	0.008920257
Rattus_lutreolus	0.0082
Rattus_norvegicus	0.005689409
Rattus_rattus	0.008550348
Rattus_tunneyi	0.00235
Reithrodontomys_fulvescens	0.000840442
Reithrodontomys_humulis	0.002265767
Reithrodontomys_microdon	0.006590909
Reithrodontomys_raviventris	0.002319659
Rhabdomys_bechuanae	0.003604558
Rhabdomys_dilectus	0.001845081
Rhabdomys_pumilio	0.003005425
Rhinoceros_sondaicus	5.913333333
Rhinolophus_euryale	2.873228743
Rhinolophus_ferrumequinum	16.51497727
Rhinolophus_hipposideros	3.048986538
Rhinophylla_pumilio	0.056755556
Rhinopithecus_bieti	9.112957317
Rhinopithecus_roxellana	12.1659375
Rhinopithecus_strykeri	22.9
Rhynchocyon_chrysopygus	0.023568893
Rousettus_aegyptiacus	5.093
Rucervus_eldii	9.046
rufus	0.33775
Rungwecebus_kipunji	1.15435
Rupicapra_pyrenaica	0.252833333
Rupicapra_rupicapra	2.447888312
Rusa_unicolor	0.559285714
Saccostomus_mearnsi	0.00135
Saguinus_bicolor	0.12
Saguinus_labiatus	0.44
Saguinus_leucopus	0.13895
Saguinus_midas	0.350333333
Saguinus_mystax	0.675097561
Saimiri_boliviensis	0.4
Saimiri_sciureus	0.586333333
Sapajus_apella	2.5
Sapajus_libidinosus	3.54
Sapajus_nigritus	0.9015
Sarcophilus_harrisii	16.25033684
Scalopus_aquaticus	0.0073
Sciurus_aberti	0.124346314
Sciurus_arizonensis	0.349192857
Sciurus_aureogaster	0.023285714
Sciurus_carolinensis	0.026734387
Sciurus_deppei	0.015
Sciurus_granatensis	0.01065
Sciurus_griseus	0.11228332
Sciurus_nayaritensis	0.14825
Sciurus_niger	0.186849442
Sciurus_vulgaris	0.1163487
Scotinomys_teguina	0.0007138
